player_id,player_name,player_url
1884404,"Morris, Tommy",http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884404
1884387,"Cintron, Nick",http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884387
1997328,"Garza, Ramon",http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1997328
1997329,"Apostle, Jason",http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1997329
1997332,"Ellison, Andrew",http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1997332
1997347,"Matton, Kalani",http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1997347
1997324,"Urbon, Seth",http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1997324
1652394,"Fernandez, Tyler",http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1652394
1778328,"McMenamy, Owen",http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1778328
1997331,"Bailey, Garrett",http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1997331
1997345,"Davis, Trevor Daniel",http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1997345
1997325,"Binnie, Nicholas",http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1997325
1884385,"Carnegie, Alex",http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1884385
2111757,"Flematti, Austin",http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=2111757
2111720,"Taylor, Justin",http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=2111720
2111707,"Lillios, Nikolas",http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=2111707
2111724,"Yacinich, Luke",http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=2111724
2111755,"Zacharias, Jon",http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=2111755
2111716,"Cushing, Kevin",http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=2111716
1997326,"Giuliano, Dave",http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1997326
2111723,"Charles, Lachlan",http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=2111723
2111763,"Charles, Anthony",http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=2111763
2111734,"Gilbert, William",http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=2111734
2347188,"Hollerbach, Joe",http://stats.ncaa.org/player/index?game_sport_year_ctl_id=15204&org_id=167&stats_player_seq=2347188
2347184,"Russell, Shane",http://stats.ncaa.org/player/index?game_sport_year_ctl_id=15204&org_id=167&stats_player_seq=2347184
2347189,"Guy, Wils",http://stats.ncaa.org/player/index?game_sport_year_ctl_id=15204&org_id=167&stats_player_seq=2347189
2347213,"Steigerwald, Alex",http://stats.ncaa.org/player/index?game_sport_year_ctl_id=15204&org_id=167&stats_player_seq=2347213
2347203,"Ross, Ryan",http://stats.ncaa.org/player/index?game_sport_year_ctl_id=15204&org_id=167&stats_player_seq=2347203
2347220,"Alonso, Franco",http://stats.ncaa.org/player/index?game_sport_year_ctl_id=15204&org_id=167&stats_player_seq=2347220
2347219,"Kaplan, Sam",http://stats.ncaa.org/player/index?game_sport_year_ctl_id=15204&org_id=167&stats_player_seq=2347219
2111747,"Rodriguez, Diobel",http://stats.ncaa.org/player/index?game_sport_year_ctl_id=15204&org_id=167&stats_player_seq=2111747
2347211,"Edwards, Spencer",http://stats.ncaa.org/player/index?game_sport_year_ctl_id=15204&org_id=167&stats_player_seq=2347211
