,date,team_1,team_1_score,team_2,team_2_score,field
929,4/30/2016,Princeton,7,Cornell,2,@Princeton
930,3/04/2017,Cornell,5,Navy,2,@Navy
931,3/04/2017,Navy,8,Cornell,7,@Navy
932,3/05/2017,Cornell,8,Navy,5,@Navy
933,3/10/2017,Cornell,7,George Mason,3,@George Mason
934,3/11/2017,George Mason,11,Cornell,4,@George Mason
935,3/12/2017,Cornell,9,George Mason,3,@George Mason
936,3/17/2017,Richmond,8,Cornell,7,@Richmond
937,3/18/2017,Cornell,3,Campbell,2,@Cornell
938,3/19/2017,Cornell,2,Michigan State,1,@Michigan State
939,3/25/2017,Cornell,11,Bucknell,4,@Bucknell
940,3/25/2017,Cornell,5,Bucknell,2,@Bucknell
941,3/26/2017,Bucknell,1,Cornell,0,@Bucknell
942,3/26/2017,Cornell,7,Bucknell,3,@Bucknell
943,3/29/2017,Penn State,8,Cornell,2,@Penn State
944,4/01/2017,Brown,7,Cornell,4,@Cornell
945,4/01/2017,Brown,8,Cornell,1,@Cornell
946,4/02/2017,Cornell,6,Yale,4,@Cornell
947,4/02/2017,Yale,7,Cornell,2,@Cornell
948,4/04/2017,Georgetown,3,Cornell,1,@Georgetown
949,4/05/2017,Cornell,27,Towson,14,@Towson
950,4/08/2017,Cornell,9,Harvard,5,@Harvard
951,4/08/2017,Harvard,7,Cornell,5,@Harvard
952,4/09/2017,Cornell,2,Dartmouth,0,@Dartmouth
953,4/09/2017,Dartmouth,5,Cornell,0,@Dartmouth
954,4/12/2017,Cornell,6,Binghamton,4,@Cornell
955,4/15/2017,Cornell,12,Columbia,6,@Columbia
956,4/15/2017,Cornell,8,Columbia,7,@Columbia
957,4/16/2017,Columbia,8,Cornell,7,@Columbia
958,4/16/2017,Cornell,9,Columbia,5,@Columbia
959,4/22/2017,Cornell,2,Pennsylvania,0,@Cornell
960,4/22/2017,Pennsylvania,5,Cornell,0,@Cornell
961,4/23/2017,Pennsylvania,3,Cornell,2,@Cornell
962,4/23/2017,Pennsylvania,4,Cornell,0,@Cornell
963,4/26/2017,Cornell,10,Binghamton,2,@Binghamton
964,4/28/2017,Princeton,9,Cornell,5,@Princeton
965,4/28/2017,Princeton,9,Cornell,7,@Princeton
966,4/30/2017,Cornell,13,Princeton,1,@Cornell
967,4/30/2017,Cornell,5,Princeton,1,@Cornell
968,2/23/2018,Texas A&M,22,Cornell,0,@Texas A&M
969,2/23/2018,Texas A&M,3,Cornell,2,@Texas A&M
970,2/24/2018,Texas A&M,8,Cornell,2,@Texas A&M
971,3/02/2018,Duke,8,Cornell,3,@Duke
972,3/03/2018,Duke,7,Cornell,2,@Duke
973,3/04/2018,Duke,7,Cornell,2,@Duke
974,3/17/2018,Cornell,4,Fordham,3,@Fordham
975,3/17/2018,Fordham,4,Cornell,3,@Fordham
976,3/18/2018,Fordham,5,Cornell,3,@Fordham
977,3/25/2018,Cornell,17,Niagara,5,@Cornell
978,3/25/2018,Niagara,7,Cornell,4,@Cornell
979,3/28/2018,Cornell,10,Penn State,6,@Penn State
980,3/31/2018,Cornell,5,Princeton,2,@Princeton
981,3/31/2018,Princeton,10,Cornell,4,@Princeton
982,4/01/2018,Princeton,7,Cornell,6,@Princeton
983,4/04/2018,Cornell,6,Canisius,5,@Cornell
984,4/07/2018,Yale,7,Cornell,4,@Cornell
985,4/08/2018,Yale,8,Cornell,7,@Cornell
986,4/09/2018,Yale,7,Cornell,4,@Cornell
987,4/14/2018,Cornell,8,Dartmouth,3,@Cornell
988,4/14/2018,Dartmouth,4,Cornell,2,@Cornell
989,4/15/2018,Dartmouth,5,Cornell,3,@Cornell
990,4/21/2018,Cornell,10,Pennsylvania,9,@Pennsylvania
991,4/21/2018,Pennsylvania,9,Cornell,5,@Pennsylvania
992,4/22/2018,Cornell,7,Pennsylvania,6,@Pennsylvania
993,4/24/2018,Cornell,12,Binghamton,3,@Binghamton
994,4/28/2018,Cornell,10,Harvard,8,@Cornell
995,4/28/2018,Cornell,7,Harvard,4,@Cornell
996,4/29/2018,Harvard,6,Cornell,2,@Cornell
997,5/02/2018,Binghamton,11,Cornell,1,@Binghamton
998,5/05/2018,Brown,7,Cornell,6,@Brown
999,5/05/2018,Cornell,10,Brown,7,@Brown
1000,5/06/2018,Cornell,4,Brown,2,@Brown
1001,5/12/2018,Columbia,3,Cornell,2,@Cornell
1002,5/12/2018,Cornell,14,Columbia,2,@Cornell
1003,5/13/2018,Columbia,3,Cornell,2,@Cornell
1004,2/22/2019,Baylor,17,Cornell,0,@Baylor
1005,2/23/2019,Baylor,10,Cornell,3,@Baylor
1006,2/24/2019,Baylor,12,Cornell,4,@Baylor
1007,3/01/2019,Virginia Commonwea,6,Cornell,1,@Virginia Common
1008,3/02/2019,Virginia Commonwea,2,Cornell,0,@Virginia Common
1009,3/02/2019,Virginia Commonwea,9,Cornell,3,@Virginia Common
1010,3/09/2019,Cornell,3,Navy,2,@Navy
1011,3/09/2019,Navy,2,Cornell,1,@Navy
1012,3/10/2019,Navy,5,Cornell,1,@Navy
1013,3/16/2019,Cornell,1,Fordham,0,@Fordham
1014,3/16/2019,Cornell,4,Towson,2,@Towson
1015,3/17/2019,Towson,3,Cornell,2,@Towson
1016,3/23/2019,Columbia,3,Cornell,0,@Columbia
1017,3/24/2019,Columbia,13,Cornell,8,@Columbia
1018,3/24/2019,Cornell,4,Columbia,3,@Columbia
1019,3/30/2019,Cornell,3,Yale,0,@Yale
1020,3/30/2019,Yale,2,Cornell,0,@Yale
1021,4/01/2019,Yale,7,Cornell,2,@Yale
1022,4/02/2019,Cornell,8,St. Bonaventure,1,@Cornell
1023,4/03/2019,Cornell,4,Army,1,@Army
1024,4/06/2019,Brown,11,Cornell,3,@Cornell
1025,4/06/2019,Brown,2,Cornell,1,@Cornell
1026,4/07/2019,Brown,7,Cornell,3,@Cornell
1027,4/09/2019,Binghamton,8,Cornell,4,@Cornell
1028,4/13/2019,Harvard,7,Cornell,1,@Harvard
1029,4/13/2019,Harvard,8,Cornell,6,@Harvard
1030,4/14/2019,Cornell,2,Harvard,0,@Harvard
1031,4/20/2019,Cornell,15,Princeton,9,@Cornell
1032,4/20/2019,Princeton,7,Cornell,2,@Cornell
1033,4/21/2019,Princeton,4,Cornell,2,@Cornell
1034,4/27/2019,Cornell,4,Pennsylvania,3,@Cornell
1035,4/27/2019,Pennsylvania,6,Cornell,2,@Cornell
1036,4/28/2019,Cornell,8,Pennsylvania,7,@Cornell
1037,5/01/2019,Cornell,5,Binghamton,2,@Binghamton
1038,5/04/2019,Cornell,2,Dartmouth,1,@Dartmouth
1039,5/04/2019,Cornell,8,Dartmouth,6,@Dartmouth
1040,5/05/2019,Dartmouth,6,Cornell,1,@Dartmouth
1041,5/07/2019,St. Bonaventure,9,Cornell,8,@St. Bonaventure
1042,2/21/2020,Duke,8,Cornell,0,@Duke
1043,2/22/2020,Duke,2,Cornell,0,@Duke
1044,2/23/2020,Duke,3,Cornell,1,@Duke
1045,2/29/2020,Niagara,8,Cornell,4,@neutral
1046,2/29/2020,Niagara,8,Cornell,6,@neutral
1047,3/01/2020,Cornell,6,Niagara,5,@neutral
1048,3/06/2020,South Carolina,10,Cornell,2,@South Carolina
1049,3/07/2020,South Carolina,10,Cornell,3,@South Carolina
1050,3/08/2020,South Carolina,6,Cornell,1,@South Carolina
