2347641, 2020: Jersey is '2G'?

ACC
failure: Darius Foster (1983210) | season: 2018 (12973) | school: Oregon St. (528)
failure: Zach Espinosa (1989948) | season: 2018 (12973) | school: California (107)
failure: Alex Cornwell (1993560) | season: 2018 (12973) | school: Southern California (657)
failure: Riley Lamb (1993589) | season: 2018 (12973) | school: Southern California (657)
failure: Reuben Drogin (1994726) | season: 2018 (12973) | school: California (107)
failure: Justin Kelly (1995371) | season: 2018 (12973) | school: Utah (732)
failure: Michael Boden (1995993) | season: 2018 (12973) | school: Stanford (674)
failure: Zach Sehgal (1995995) | season: 2018 (12973) | school: Stanford (674)
failure: Jonathan Worley (1996007) | season: 2018 (12973) | school: Stanford (674)
failure: Carter Booth (2112903) | season: 2019 (14781) | school: Oregon St. (528)
failure: Bret Soulages (2112940) | season: 2019 (14781) | school: Oregon St. (528)
failure: Abel Carter (2119820) | season: 2019 (14781) | school: Washington St. (754)
failure: Brandon Lees (2119830) | season: 2019 (14781) | school: Washington St. (754)
failure: Sam Lauderdale (2119843) | season: 2019 (14781) | school: Washington St. (754)
failure: Payton Flynn (2119846) | season: 2019 (14781) | school: Washington St. (754)
failure: Miko Rodriguez (2119859) | season: 2020 (15204) | school: Southern California (657)
failure: Ben Guess (2130670) | season: 2019 (14781) | school: Utah (732)
failure: Trevor Wells (2130712) | season: 2019 (14781) | school: Utah (732)
failure: Jt Schwartz (2131037) | season: 2019 (14781) | school: UCLA (110)
failure: Dennis Boatman (2131040) | season: 2019 (14781) | school: UCLA (110)
failure: Chris May (2131506) | season: 2019 (14781) | school: Oregon (529)
failure: Justin Moore (2133717) | season: 2019 (14781) | school: Stanford (674)
failure: Cody Jensen (2133720) | season: 2019 (14781) | school: Stanford (674)
failure: Nicolas Lopez (2133741) | season: 2019 (14781) | school: Stanford (674)
failure: Keolu Ramos (2137085) | season: 2019 (14781) | school: Arizona St. (28)
failure: Vince Flores (2137859) | season: 2019 (14781) | school: Washington (756)
failure: Bryce Begell (2140071) | season: 2019 (14781) | school: Arizona (29)
failure: Ian Mejia (2140153) | season: 2019 (14781) | school: Arizona (29)
failure: Kyson Donahue (2140159) | season: 2019 (14781) | school: Arizona (29)
failure: Blake Peyton (2140162) | season: 2019 (14781) | school: Arizona (29)
failure: Carson Greene (2311340) | season: 2020 (15204) | school: Stanford (674)
failure: Matt Swartz (2311372) | season: 2020 (15204) | school: Stanford (674)
failure: Rj Lan (2344909) | season: 2020 (15204) | school: Washington St. (754)
failure: Joey Cammarata (2344914) | season: 2020 (15204) | school: Washington St. (754)
failure: Danny Cervantes (2344919) | season: 2020 (15204) | school: Washington St. (754)
failure: Matt Ortiz (2472091) | season: 2021 (15580) | school: Washington St. (754)
failure: Jayshaun Wise (2472092) | season: 2021 (15580) | school: Washington St. (754)
