,index,Year,Team,GP,AB,H,BA,OBPct,TB,SlgPct,R,2B,3B,HR,RBI,BB,HBP,SF,SH,K,DP,SB,CS,Picked,IBB,season_id,school_id,stats_player_seq,name,G,RBI2out,OPP DP
1750,1,2018-19,{'href': '/team/554/14781'},12,17,1,0.059,0.238,1,0.059,2,0,0,0,-,4,-,-,-,10,-,-,-,-,-,12973,554,1978711,Sy Snedeker,-,-,
1751,2,2019-20,{'href': '/team/554/15204'},6,11,3,0.273,0.556,6,0.545,2,0,0,1,4,6,1,-,-,5,-,2,-,-,-,12973,554,1978711,Sy Snedeker,-,-,
1752,0,2017-18,{'href': '/team/554/12973'},10,-,-,-,-,0,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,12973,554,1978725,Keith Gabrielson,-,-,
1753,1,2018-19,{'href': '/team/554/14781'},10,-,-,-,-,0,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,12973,554,1978725,Keith Gabrielson,-,-,
1754,2,2019-20,{'href': '/team/554/15204'},2,-,-,-,-,0,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,12973,554,1978725,Keith Gabrielson,-,-,
1755,0,2017-18,{'href': '/team/554/12973'},8,-,-,-,-,0,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,12973,554,1978728,Connor Udell,-,-,
1756,1,2018-19,{'href': '/team/554/14781'},8,-,-,-,-,0,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,12973,554,1978728,Connor Udell,-,-,
1757,2,2019-20,{'href': '/team/554/15204'},2,-,-,-,-,0,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,12973,554,1978728,Connor Udell,-,-,
1758,0,2017-18,{'href': '/team/80/12973'},21,67,13,0.194,0.253,19,0.284,12,1,1,1,10,4,2,2,-,20,2,2,-,-,-,12973,80,1983968,Louis Gaitley,-,-,
1759,1,2018-19,{'href': '/team/80/14781'},7,10,1,0.100,0.182,2,0.200,2,1,0,0,2,-,1,-,-,2,-,-,-,-,-,12973,80,1983968,Louis Gaitley,-,-,
1760,2,2019-20,{'href': '/team/80/15204'},4,7,2,0.286,0.375,2,0.286,-,0,0,0,1,1,-,-,-,1,-,-,-,-,-,12973,80,1983968,Louis Gaitley,-,-,
1761,0,2017-18,{'href': '/team/80/12973'},7,-,-,-,-,0,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,12973,80,1983969,Pat Petteruti,-,-,
